Brand_Model,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price (INR Lakhs),Brand,Model,Car_Age
Maruti Wagon R LXI CNG,Mumbai,2010,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,175000.0,Maruti,Wagon R LXI CNG,15
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,1250000.0,Hyundai,Creta 1.6 CRDi SX Option,10
Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,450000.0,Honda,Jazz V,14
Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,600000.0,Maruti,Ertiga VDI,13
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,1773999.9999999998,Audi,A4 New 2.0 TDI Multitronic,12
Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,235000.0,Hyundai,EON LPG Era Plus Option,13
Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,350000.0,Nissan,Micra Diesel XV,12
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,1750000.0,Toyota,Innova Crysta 2.8 GX AT 8S,9
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,520000.0,Volkswagen,Vento Diesel Comfortline,12
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,195000.0,Tata,Indica Vista Quadrajet LS,13
Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,994999.9999999999,Maruti,Ciaz Zeta,7
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,449000.0,Honda,City 1.5 V AT Sunroof,13
Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,560000.0,Maruti,Swift VDI BSIV,10
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,2700000.0,Land,Rover Range Rover 2.2L Pure,11
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,1750000.0,Land,Rover Freelander 2 TD4 SE,13
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,1500000.0,Mitsubishi,Pajero Sport 4X4,11
Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,540000.0,Honda,Amaze S i-Dtech,9
Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,599000.0,Maruti,Swift DDiS VDI,8
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,634000.0,Renault,Duster 85PS Diesel RxL Plus,11
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,2800000.0,Mercedes-Benz,New C-Class C 220 CDI BE Avantgare,11
BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,1855000.0,BMW,3 Series 320d,11
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,825000.0,Maruti,S Cross DDiS 200 Alpha,10
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,2350000.0,Audi,A6 2011-2015 35 TFSI Technology,10
Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,187000.0,Hyundai,i20 1.2 Magna,15
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,285000.0,Volkswagen,Vento Petrol Highline AT,15
Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,425000.0,Honda,City Corporate Edition,13
Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,425000.0,Nissan,Micra Diesel XV,13
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,275000.0,Maruti,Alto K10 2010-2014 VXI,12
Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,990000.0,Honda,WRV i-VTEC VX,7
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,400000.0,Toyota,Innova 2.5 V Diesel 7-seater,18
